Day Monday
Dept           Coursenum  Class Title                     Start Time  End Time
-------------  ---------  ------------------------------  ----------  --------
chemistry      1100-08    CHEMISTRY_I                     08:00AM     10:50AM 
interdisc      1970-01    DEEP_LISTENING                  08:00AM     09:50AM 
interdisc      1350-01    LAW,_VALUES,_AND_PUBLIC_POLICY  08:00AM     09:50AM 
chemistry      1600-01    MATERIALS_SCIENCE               08:00AM     09:50AM 
earth_science  4350-01    DATA_SCIENCE                    09:00AM     11:50AM 
earth_science  6350-01    DATA_SCIENCE                    09:00AM     11:50AM 
earth_science  6200-01    ADV_APPLIED_MICROPALEONTOLOGY   10:00AM     11:50AM 
interdisc      1290-01    AMERICAN_POLITICS_IN_CRISIS     10:00AM     11:50AM 
earth_science  4200-01    APPLIED_MICROPALEONTOLOGY       10:00AM     11:50AM 
1337           2200-01    FOUNDATIONS_OF_COMPUTER_SCI     10:00AM     11:50AM 
1337           2200-02    FOUNDATIONS_OF_COMPUTER_SCI     10:00AM     11:50AM 
1337           2200-03    FOUNDATIONS_OF_COMPUTER_SCI     10:00AM     11:50AM 
1337           2200-04    FOUNDATIONS_OF_COMPUTER_SCI     10:00AM     11:50AM 
chemistry      1600-02    MATERIALS_SCIENCE               10:00AM     11:50AM 
interdisc      1977-01    WAR_&_TECH_PAST,PRES,FUTURE     10:00AM     11:50AM 
chemistry      1100-08    CHEMISTRY_I                     11:00AM     11:50AM 
chemistry      1100-10    CHEMISTRY_I                     11:00AM     01:50PM 
earth_science  6200-01    ADV_APPLIED_MICROPALEONTOLOGY   12:00PM     01:50PM 
earth_science  4200-01    APPLIED_MICROPALEONTOLOGY       12:00PM     01:50PM 
interdisc      1961-01    CULTIV_CURIOSITY_ARTS_&_NEURO   12:00PM     01:50PM 
interdisc      1961-02    CULTIV_CURIOSITY_ARTS_&_NEURO   12:00PM     01:50PM 
chemistry      1600-03    MATERIALS_SCIENCE               12:00PM     01:50PM 
interdisc      1968-01    BLENDED_REALITY_&__INTERNET     02:00PM     03:50PM 
chemistry      1100-09    CHEMISTRY_I                     02:00PM     04:50PM 
interdisc      1969-02    HISTORY_OF_DESIGN               02:00PM     03:50PM 
chemistry      1600-04    MATERIALS_SCIENCE               02:00PM     03:50PM 
interdisc      1610-01    PDI_STUDIO_I                    02:00PM     04:50PM 
interdisc      1971-01    PHIL,_TECH_&_THE_HUMAN_FUTURE   02:00PM     03:50PM 
earth_science  2120-01    STRUCTURAL_GEOLOGY              02:00PM     03:50PM 
interdisc      1976-02    THE_GENOME_AND_YOU              02:00PM     03:50PM 
interdisc      1964-01    ARE_HUMANS_RATIONAL?            04:00PM     05:50PM 
interdisc      1960-01    MAKING_GAMES_TO_CHG_THE_WORLD   04:00PM     05:50PM 
interdisc      1962-01    MUSIC_AND_NATURE                04:00PM     05:50PM 
interdisc      1965-01    OPEN_SOURCE_ART,MUSIC,CULTURE   04:00PM     05:50PM 
interdisc      1965-02    OPEN_SOURCE_ART,MUSIC,CULTURE   04:00PM     05:50PM 
interdisc      1300-01    RACE_&_FILM_IN_US_CULT_&_HIST   04:00PM     05:50PM 
interdisc      1967-01    RELIGION_IN_A_GLOBAL_WORLD      04:00PM     05:50PM 
interdisc      1960-02    MAKING_GAMES_TO_CHG_THE_WORLD   06:00PM     07:50PM 
